transcript_id,SRR10416456-sorted,SRR10416457-sorted,SRR10416458-sorted,SRR10416459-sorted,SRR10416460-sorted,SRR10416461-sorted,SRR10416462-sorted,SRR10416463-sorted,SRR10416464-sorted,SRR10416465-sorted,SRR10416466-sorted,SRR10416467-sorted
MSTRG.2774.1,431,2958,231,400,75,0,1523,249,140,1792,186,1184
MSTRG.2775.1,702,722,66,1128,272,397,72,391,743,1178,906,1193
MSTRG.2776.1,619,9,5,162,4,17,0,3,74,322,171,218
MSTRG.2778.1,172,0,0,583,68,227,0,0,363,71,153,530
MSTRG.2778.2,445,0,0,0,432,0,0,0,68,616,208,311
MSTRG.2777.1,65,0,0,3,0,128,12,4,91,97,0,82
MSTRG.2779.1,281,0,24,20,3,28,0,6,636,81,0,51
MSTRG.2780.1,370,811,65,1064,2,81,0,0,1221,457,79,7
MSTRG.2781.1,3800,609,303,3439,1388,900,213,2123,3905,2665,1512,3301
MSTRG.2782.1,1392,2189,85,1923,310,275,1619,1110,2748,2329,1470,1744
MSTRG.2784.1,777,30,2,364,493,2,39,591,1527,757,347,1814
MSTRG.2786.1,0,0,0,511,0,1855,0,0,0,0,0,183
MSTRG.2787.1,51,4,0,220,685,748,290,1467,863,572,1466,2037
MSTRG.2788.1,9,0,0,0,0,0,0,4,0,49,40,36
MSTRG.2790.1,47,0,0,0,12,269,0,34,2,0,183,304
MSTRG.2791.1,391,27,0,404,0,4,3,226,246,846,464,739
MSTRG.2792.1,172,1175,0,0,2,0,0,3,376,448,139,240
MSTRG.2794.1,442,0,0,113,1163,347,744,502,884,1452,602,1164
MSTRG.2795.1,0,0,2,19,206,287,0,3,80,227,12,116
MSTRG.2796.1,1633,154,0,1021,431,803,606,685,1372,1494,1130,2866
MSTRG.2797.1,4667,1583,1309,2099,706,120,755,2049,3391,6181,3022,7010
MSTRG.2798.1,738,2691,92,174,421,99,1412,174,492,1659,34,1130
MSTRG.2812.1,585,6,0,275,3,30,386,155,139,474,192,662
MSTRG.2801.1,0,0,0,0,0,35,0,0,0,0,0,55
MSTRG.2806.1,0,0,0,0,0,0,0,70,214,0,2,160
MSTRG.2807.1,0,0,0,0,0,0,0,0,0,0,0,48
MSTRG.2811.1,0,0,0,0,0,0,0,189,0,0,0,0
MSTRG.2799.1,13900,16041,3837,13378,5219,4325,9259,8430,14461,23800,9079,31418
MSTRG.2800.1,901,2016,117,1219,513,1656,1084,1811,1663,2399,2129,2040
MSTRG.2802.1,728,1764,21,1617,188,39,154,296,1936,1969,1706,3341
MSTRG.2803.1,141,2,160,190,5,0,0,40,295,395,35,317
MSTRG.2804.1,2344,2,2,686,913,874,1692,1278,932,2307,2905,2480
MSTRG.2805.1,68,0,0,5,69,0,0,110,0,66,2,106
MSTRG.2808.1,27810,7216,2989,8043,60229,43362,81684,56998,16478,26419,78307,163271
MSTRG.2809.1,82,4,0,401,487,333,556,196,329,945,702,569
MSTRG.2810.1,1769,3245,21,1225,269,591,3427,486,6366,4085,1199,1020
MSTRG.2813.1,722,340,945,1082,128,173,75,1766,2483,1794,1266,2189
MSTRG.2814.1,837,0,0,820,183,327,0,1016,913,533,985,1763
MSTRG.2815.1,2159,1123,104,2707,2387,2448,1468,2875,3587,5680,3612,6550
MSTRG.2819.1,95,2,17,35,690,13,0,196,24,9,1360,1446
MSTRG.2820.1,120,0,0,38,207,15,0,145,14,92,254,326
MSTRG.2821.1,37,0,0,258,0,622,0,460,130,48,134,606
MSTRG.2822.1,165,0,0,135,1594,162,6074,609,17,63,405,2069
MSTRG.2823.1,1,0,0,6,0,181,0,46,8,0,0,0
MSTRG.2824.1,244,1724,0,171,678,219,67,157,48,364,12,589
MSTRG.2830.1,32,0,0,5,0,0,0,0,0,0,0,0
MSTRG.2831.1,207,62,0,377,243,7,0,23,338,609,186,207
MSTRG.2828.1,0,0,0,85,0,45,0,2,13,205,0,67
MSTRG.2828.2,0,0,0,0,0,0,0,101,0,0,0,0
MSTRG.2825.1,33,3,3,321,1299,99,399,49,54,293,27,38
MSTRG.2825.2,55,0,0,0,0,0,0,0,0,0,0,340
MSTRG.2826.1,67,0,2,164,38,0,153,252,167,481,22,739
MSTRG.2827.1,186,404,354,212,39,52,0,192,375,163,232,359
MSTRG.2829.1,3724,714,383,2524,278,425,171,2136,5086,3864,2894,3237
MSTRG.2832.1,382,585,287,790,5,24,0,868,879,288,1380,1822
MSTRG.2833.1,107,0,0,139,11,36,0,184,96,2,295,495
MSTRG.2837.1,50,0,31,112,499,0,0,0,27,63,0,2
MSTRG.2834.1,1925,2305,123,2243,2273,2546,4548,3337,2497,3342,4490,6870
MSTRG.2835.1,793,867,0,126,0,22,103,319,237,472,827,726
MSTRG.2836.1,4504,789,5068,3718,1941,3681,6069,3600,2001,5418,8132,8606
MSTRG.2838.1,181,0,3,389,1141,40,50,412,278,358,320,1119
MSTRG.2839.1,3954,696,1008,2044,1218,1555,4600,2670,4877,4986,6770,5932
MSTRG.2843.1,13,43,0,28,0,73,0,336,63,51,48,396
MSTRG.2844.1,299,1254,3,208,82,367,1476,671,600,686,1295,912
MSTRG.2842.1,12019,26605,10882,33960,9031,3905,7806,27396,27631,27692,17293,65365
MSTRG.2845.1,1240,688,16,106,116,2,68,158,324,121,113,196
MSTRG.2846.1,50,0,0,71,3,0,0,2,311,511,0,122
MSTRG.2848.1,174,0,0,269,0,0,0,65,491,354,0,62
MSTRG.2849.1,1147,34,80,394,1651,553,1153,400,530,638,664,1181
MSTRG.2850.1,782,1201,100,690,294,77,105,753,1908,1328,420,622
MSTRG.2851.1,1535,729,125,946,3,60,1230,277,2801,995,293,617
MSTRG.2852.1,582,383,353,690,325,798,368,650,185,450,796,1308
MSTRG.2853.1,87,0,597,139,711,45,107,12,147,260,350,334
MSTRG.2854.1,90,36,120,368,7,51,73,76,244,294,562,569
MSTRG.2855.1,979,23,416,514,327,73,2241,23,1136,1573,391,1238
MSTRG.2856.1,389,5,0,287,0,0,0,0,684,160,0,25
MSTRG.2857.1,337,7,0,388,2,259,4,334,404,247,229,709
MSTRG.2858.1,561,1813,995,1434,309,26,2414,391,1259,682,699,1386
MSTRG.2859.1,209,21,123,148,0,0,0,0,1,0,0,1
MSTRG.2871.1,47,297,253,388,36,70,407,290,260,938,260,758
MSTRG.2873.1,1449,7950,2291,6870,5703,6840,10474,12772,5408,3043,23618,36563
MSTRG.2874.1,1897,633,665,1032,384,276,8,422,2219,2608,2256,2202
MSTRG.2862.1,0,0,0,0,11,0,0,0,333,0,0,43
MSTRG.2868.1,0,0,0,70,0,0,0,0,0,0,0,0
MSTRG.2860.1,82027,96669,33206,69203,18751,42177,48405,57682,100136,103434,62235,93155
MSTRG.2861.1,94,70,0,286,0,2,0,168,701,700,378,286
MSTRG.2863.1,439,137,0,910,1136,75,264,75,1307,887,210,656
MSTRG.2864.1,770,3,3172,108,5,72,0,176,152,180,4,309
MSTRG.2865.1,135,2,0,37,0,0,0,19,106,124,0,7
MSTRG.2866.1,19438,14782,5195,16315,7569,4687,4665,6036,15197,26695,6595,20726
MSTRG.2867.1,144,0,1,0,0,0,0,0,0,0,0,0
MSTRG.2869.1,112,75,243,5,299,4,0,348,227,0,775,301
MSTRG.2870.1,183,0,0,37,2,34,2,140,63,0,190,58
MSTRG.2879.1,0,0,0,0,0,0,0,5,37,119,0,176
MSTRG.2875.1,40,0,0,0,0,0,0,0,0,0,0,9
MSTRG.2876.1,134,101,41,511,2086,1001,690,3207,231,659,647,8463
MSTRG.2877.1,21878,13079,2503,5979,34969,35614,57756,46062,16327,21955,49250,91649
MSTRG.2878.1,905,3,90,608,340,1020,18,252,474,482,371,715
MSTRG.2881.1,154,9,0,247,15,0,0,467,236,484,4,276
MSTRG.2883.1,17,0,0,4,0,0,0,0,0,5,0,0
MSTRG.2884.1,2,0,0,98,9,32,239,196,271,88,285,432
MSTRG.2880.1,5886,11666,1680,4233,399,4366,1380,2404,6428,4856,3826,3383
MSTRG.2885.1,387,378,0,213,496,115,510,304,787,979,611,844
MSTRG.2886.1,106,6,311,40,0,3,0,11,86,93,93,54
MSTRG.2888.1,184,0,0,229,0,0,0,482,218,206,141,533
MSTRG.2889.1,345,419,518,1077,28,1881,1456,1250,1284,1491,1159,1780
MSTRG.2891.1,1,0,0,0,0,0,0,3,0,82,0,291
MSTRG.2892.1,77,62,0,273,0,0,0,116,137,160,0,107
MSTRG.2894.1,899,1748,0,795,93,268,141,610,1541,1780,429,1742
MSTRG.2895.1,2828,8024,2027,5766,182,321,508,1641,10551,4736,2491,5376
MSTRG.2896.1,546,1871,0,853,260,0,183,83,512,1026,419,519
MSTRG.2896.2,2,1,1946,96,1,14,0,2,9,1,1,1
MSTRG.2897.1,207,392,11,130,0,221,117,86,335,197,263,371
MSTRG.2901.1,55,0,0,156,0,121,0,0,102,0,379,9
MSTRG.2900.1,1884,731,313,1192,211,361,0,504,2684,2573,1649,1873
MSTRG.2904.1,540,404,0,403,0,0,0,251,912,322,202,527
MSTRG.2916.1,2,0,2,133,1963,41,1356,1671,18,0,3717,4864
MSTRG.2917.1,579,0,100,183,4,0,0,427,715,496,195,445
MSTRG.2918.1,210,0,0,218,0,0,0,11,293,312,795,336
MSTRG.2905.1,338,1669,0,484,26,487,0,624,797,1411,689,869
MSTRG.2906.1,233,366,26,250,250,165,0,84,303,235,79,349
MSTRG.2908.1,2654,7449,2002,4302,3617,500,3550,2601,3348,5582,4738,3416
MSTRG.2907.1,135,800,0,289,0,0,0,2,313,45,0,8
MSTRG.2909.1,313,0,2,184,393,1700,225,481,836,260,66,688
MSTRG.2910.1,791,24,9,586,149,24,460,313,1428,591,1110,1009
MSTRG.2911.1,506,0,0,387,84,90,31,188,743,1103,643,545
MSTRG.2912.1,596,81,0,316,293,14,2,183,889,536,130,493
MSTRG.2913.1,1186,2058,231,1855,1985,2734,3301,2647,2318,1387,5358,1999
MSTRG.2914.1,102,12,0,318,0,0,0,0,460,369,0,2
MSTRG.2915.1,148,0,0,90,412,663,2,46,65,4,563,748
MSTRG.2919.1,12,0,0,20,415,19,0,4,34,104,0,114
MSTRG.2920.1,1016,1808,1048,2998,470,430,67,1430,3237,2178,1062,3336
MSTRG.2922.1,40,3767,0,15,319,483,55,106,11,499,47,1022
MSTRG.2923.1,173,0,2,244,1133,29,808,346,25,712,334,330
MSTRG.2926.1,428,594,0,1042,147,662,3179,2300,1177,585,3816,2493
MSTRG.2927.1,1437,2191,70,1281,2963,2259,2043,1701,3051,1264,2548,4483
MSTRG.2930.1,221,0,0,437,1138,564,41,657,60,100,450,1147
MSTRG.2931.1,6,0,0,149,301,327,0,432,162,9,660,1307
MSTRG.2932.1,256,0,0,219,124,0,0,297,371,722,57,485
MSTRG.2933.1,951,281,1720,811,1067,972,926,1129,1454,946,1009,1883
MSTRG.2935.1,732,200,566,1006,93,66,378,1138,1527,1012,899,2436
MSTRG.2936.1,152,0,0,2,0,0,0,0,22,0,0,2
MSTRG.2937.1,6208,1419,0,2937,320,865,1315,588,4122,2556,1374,1569
MSTRG.2938.1,802,18,316,657,1144,126,189,1463,205,842,424,1512
MSTRG.2939.1,82,0,0,0,0,0,0,0,0,0,0,102
MSTRG.2943.1,79,50,0,12,0,0,0,336,1047,78,123,2
MSTRG.2942.1,2808,4639,34,2047,356,582,304,1390,3039,3169,859,3612
MSTRG.2961.1,25,0,0,0,0,0,0,0,0,0,0,1
MSTRG.2962.1,273,26,185,174,0,394,6,61,128,286,474,341
MSTRG.2963.1,836,0,2,0,569,38,253,312,121,278,73,350
MSTRG.2944.1,0,0,0,0,507,0,18,63,0,0,15,51
MSTRG.2958.1,0,0,0,0,0,0,0,4,0,0,0,57
MSTRG.2946.1,166,0,44,557,60,16,532,417,326,631,357,1152
MSTRG.2945.1,150,0,0,27,0,0,0,33,17,130,9,12
MSTRG.2947.1,199,0,274,384,0,27,0,54,206,567,194,553
MSTRG.2948.1,277,19,0,60,0,0,2,25,189,89,48,72
MSTRG.2949.1,2288,1199,368,2491,1089,1798,4108,929,1804,2635,2946,4029
MSTRG.2950.1,32,0,0,15,6,2,0,217,5,23,160,231
MSTRG.2951.1,52,0,0,368,164,204,368,345,682,858,163,109
MSTRG.2952.1,576,0,0,166,260,0,0,233,839,405,0,1019
MSTRG.2953.1,392,0,0,31,435,0,0,524,239,163,906,859
MSTRG.2954.1,1800,2785,325,1358,1214,2195,615,1703,1609,2492,1420,7477
MSTRG.2955.1,64,51,0,130,495,22,0,0,269,95,52,203
MSTRG.2956.1,72,0,0,0,0,0,0,0,135,0,0,72
MSTRG.2957.1,1781,3702,1461,2795,0,749,6,690,5839,4824,978,1260
MSTRG.2958.2,16,0,0,5,3,3,79,141,15,22,218,256
MSTRG.2959.1,96,5,0,105,479,12,1058,81,128,24,233,1468
MSTRG.2960.1,1251,2419,12,964,647,167,2050,1143,879,1914,646,2509
MSTRG.2964.1,67,0,0,206,68,35,1081,205,217,559,1560,1436
MSTRG.2965.1,405,60,1,649,7,21,0,8,1052,603,0,237
MSTRG.2966.1,5033,30890,8703,17465,4208,2854,2072,4774,11194,9167,4762,11685
MSTRG.2967.1,201,294,95,143,94,75,26,409,246,206,819,1175
MSTRG.2968.1,255,0,0,4,0,0,0,0,0,88,0,30
MSTRG.2969.1,10020,12306,4334,8142,3544,4464,4641,4137,4802,13053,4592,19305
MSTRG.2971.1,461,111,1,238,1119,13,22,0,363,552,79,59
MSTRG.2972.1,328,81,610,668,0,121,5,177,287,605,87,189
MSTRG.2973.1,49,2,0,199,5,0,32,323,162,223,58,383
MSTRG.2974.1,0,0,0,0,0,0,0,342,292,282,68,349
MSTRG.2975.1,4,0,0,65,0,2,0,0,78,115,2,85
MSTRG.2970.1,11897,3299,5000,9393,6499,3651,3614,6851,4803,13480,5384,22634
MSTRG.2976.1,126,143,33,175,0,6,0,119,220,160,213,117
MSTRG.2977.1,234,0,0,317,0,0,0,0,214,170,0,169
MSTRG.2978.1,2407,8500,1965,8240,5465,639,3262,2088,3145,8101,864,7425
MSTRG.2979.1,2840,3774,200,3274,872,3711,4150,2767,5464,6106,2710,3079
MSTRG.2980.1,132,0,0,36,0,0,0,34,0,0,0,17
MSTRG.2981.1,1296,0,0,592,31,719,2172,576,718,1946,605,600
MSTRG.2991.1,153,5,2,105,1014,436,57,1891,351,389,4010,4540
MSTRG.2992.1,296,0,0,96,199,314,33,612,243,156,207,809
MSTRG.2986.1,0,0,0,0,0,0,0,0,0,61,0,0
MSTRG.2982.1,425,0,179,309,0,85,1,40,364,225,645,350
MSTRG.2983.1,1806,22,2,507,1127,523,1132,1105,2370,3742,1934,3815
MSTRG.2984.1,93,44,1,320,410,25,2253,34,24,1074,26,507
MSTRG.2985.1,245,20,8,510,3,7,356,280,528,695,341,309
MSTRG.2987.1,53,0,0,0,446,127,146,331,0,263,0,932
MSTRG.2988.1,24,0,0,0,50,6,0,87,7,0,0,36
MSTRG.2988.2,101,2,0,153,254,32,0,58,63,162,72,152
MSTRG.2989.1,706,525,109,248,491,420,746,517,600,1244,570,1723
MSTRG.2990.1,8723,9567,5092,10473,1449,618,1862,1663,11560,11388,2239,5053
MSTRG.2993.1,1556,852,577,1136,5410,1606,5263,6184,2303,2282,8276,14963
MSTRG.2995.1,134,0,7,54,181,798,32,527,31,55,2072,2215
MSTRG.2997.1,453,48,97,298,50,124,1494,58,114,260,305,201
MSTRG.2998.1,643,1,59,193,7,62,0,260,495,474,44,383
MSTRG.3000.1,1180,5373,3,1255,170,774,3243,984,2898,2421,2527,4024
MSTRG.3005.1,0,0,0,0,0,0,0,181,0,0,0,0
MSTRG.3009.1,0,0,0,0,0,0,0,0,0,0,0,24
MSTRG.3013.1,0,0,0,0,0,0,0,3,0,0,284,0
MSTRG.3003.1,5623,3085,1825,3941,776,1551,1963,2041,4395,5063,2091,5321
MSTRG.3004.1,383,120,0,118,270,9,70,36,614,395,573,1075
MSTRG.3006.1,836,0,0,551,151,0,1548,69,409,230,0,268
MSTRG.3007.1,70,0,0,113,0,0,0,0,0,0,0,0
MSTRG.3008.1,654,383,100,794,450,415,403,662,639,544,751,1497
MSTRG.3010.1,1,0,0,0,380,0,0,1,0,0,0,0
MSTRG.3011.1,121,257,1,314,1814,3,601,323,67,163,128,1141
MSTRG.3012.1,172,17,11,674,274,40,38,67,183,201,160,178
MSTRG.3014.1,421,0,0,206,252,119,576,201,372,111,451,1304
MSTRG.3015.1,2,0,0,0,0,0,0,0,0,0,0,135
MSTRG.3016.1,229,2,3,6,2562,653,123,4463,570,1001,3255,10678
MSTRG.3047.1,314,44,0,2,29,0,2,4,8,323,0,213
MSTRG.3049.2,0,0,0,0,44,0,0,0,0,0,0,0
MSTRG.3049.1,727,803,0,856,885,884,2478,2644,1141,1408,5545,5532
MSTRG.3021.1,0,109,0,59,0,0,0,0,24,169,15,37
MSTRG.3033.1,0,0,0,193,0,21,0,8,0,16,0,183
MSTRG.3035.1,0,0,0,0,2,0,0,0,0,0,0,26
MSTRG.3036.1,0,0,0,0,0,0,0,0,0,0,0,39
MSTRG.3017.1,520,98,4,353,2,187,24,277,1287,98,955,1020
MSTRG.3018.1,22,0,9,177,0,0,0,2,303,155,5,150
MSTRG.3019.1,147,0,0,0,0,0,0,0,0,4,0,43
MSTRG.3020.1,598,0,0,2166,0,0,0,350,571,868,1406,1392
MSTRG.3022.1,62,0,0,0,0,0,0,0,8,22,7,85
MSTRG.3023.1,263,1567,0,217,33,16,25,561,1188,519,1221,1242
MSTRG.3024.1,705,141,79,425,216,13,151,329,260,1535,1127,1381
MSTRG.3025.1,202,0,451,448,0,2,148,69,66,248,138,692
MSTRG.3026.1,254,2,4,195,9,58,459,479,971,567,400,254
MSTRG.3027.1,127,77,0,109,0,0,0,39,61,0,0,171
MSTRG.3029.1,4580,4736,0,3844,1394,882,5899,2325,4633,5430,1737,7738
MSTRG.3029.2,1877,0,0,0,0,0,0,0,0,0,0,0
MSTRG.3028.1,7,0,33,8,0,0,0,0,76,95,103,48
MSTRG.3030.1,296,0,0,0,16,593,278,127,6,3,177,745
MSTRG.3031.1,8211,12326,4575,7335,5179,2391,4118,8714,13594,12902,11273,22068
MSTRG.3032.1,50,123,0,232,576,321,229,233,216,60,634,1051
MSTRG.3034.1,6548,3684,1071,5063,2574,6974,11548,4254,7570,8332,6519,8050
MSTRG.3037.1,366,1121,205,955,32,110,5,385,725,779,1290,745
MSTRG.3038.1,1178,3977,0,1917,115,554,0,1707,1991,2448,1190,2301
MSTRG.3039.1,365,0,2,96,396,263,3016,425,268,646,538,1893
MSTRG.3040.1,76,0,0,333,0,0,0,0,282,48,0,0
MSTRG.3041.1,713,1937,0,308,159,10,246,3,2352,1529,0,30
MSTRG.3042.1,1560,981,4,838,210,1400,172,217,1751,1173,1032,1144
MSTRG.3043.1,29,0,0,0,0,4,0,7,3,0,0,101
MSTRG.3044.1,1320,374,68,356,82,719,18,313,1681,1823,706,1563
MSTRG.3052.1,7,0,0,11,0,0,0,3,0,0,0,46
MSTRG.3050.1,1648,2363,61,1280,1492,1641,2948,2491,4445,2334,4844,6764
MSTRG.3051.1,5042,5170,2176,6408,3178,1355,7839,4647,3472,9556,7536,18088
MSTRG.3053.1,1293,0,77,899,1790,2151,2934,1097,992,814,3309,2492
MSTRG.3056.1,53,2248,0,145,4,5,229,5,366,90,343,138
MSTRG.3057.2,0,0,0,0,0,0,0,0,0,0,228,48
MSTRG.3057.1,55,0,0,71,141,0,0,126,0,50,10,238
MSTRG.3058.1,935,277,4,917,427,32,453,1012,583,89,160,511
MSTRG.3059.1,48,0,2,18,3,1,79,0,14,174,32,121
MSTRG.3054.1,10,0,0,8,0,0,0,327,7,78,21,14
MSTRG.3055.1,26297,75013,17148,32884,9070,6394,7741,33111,31997,51506,26029,97833
MSTRG.3060.1,3538,1726,82,1703,850,1950,4153,3135,3934,2898,5844,4905
MSTRG.3062.1,173,0,0,210,0,0,0,0,151,180,92,18
MSTRG.3061.1,17646,2805,1947,3014,53000,43665,64832,38933,6008,17119,40042,113899
MSTRG.3063.1,91,0,0,2,3,0,0,21,221,172,0,14
MSTRG.3065.1,38,0,0,25,0,0,0,0,104,0,11,58
MSTRG.3066.1,651,197,2,578,49,43,2,374,947,2065,219,907
MSTRG.3068.1,41,0,0,280,0,114,0,0,313,7,157,295
MSTRG.3067.1,46,6,2,0,0,334,0,101,0,0,352,347
MSTRG.3069.1,308,3024,31,1933,685,663,9,1872,2384,878,2074,3718
MSTRG.3070.1,997,1312,69,302,2,20,0,34,617,523,102,117
MSTRG.3071.1,262,0,0,175,3,4,375,105,529,394,166,131
MSTRG.3072.1,389,293,168,166,355,336,74,239,583,900,745,641
MSTRG.3074.1,4,0,0,0,0,0,0,0,0,435,0,0
MSTRG.3076.1,110,0,0,0,0,0,0,0,0,0,0,0
MSTRG.3077.1,1366,3170,150,564,300,367,62,184,1773,1170,366,688
MSTRG.3078.1,139,0,0,18,18,0,0,0,9,12,0,34
MSTRG.3079.1,185,4,2,241,16,60,10,20,771,184,46,207
MSTRG.3089.1,107,0,0,59,83,0,0,0,87,3,298,8
MSTRG.3080.1,0,0,0,0,0,0,0,0,0,0,75,74
MSTRG.3081.1,52,3,47,25,5,59,0,66,65,30,178,428
MSTRG.3082.1,40,0,0,26,4,0,0,124,6,472,270,80
MSTRG.3083.1,928,1200,0,923,19,28,64,668,830,546,683,1223
MSTRG.3084.1,721,34,18,792,17,16,2,172,507,2004,592,1155
MSTRG.3085.1,477,3212,215,568,236,2,5,58,591,1005,65,252
MSTRG.3086.1,468,1890,1113,880,20,17,55,7,666,610,191,183
MSTRG.3087.1,375,0,73,348,415,39,80,362,538,404,478,919
MSTRG.3088.1,4759,5783,2074,4304,2143,1179,8503,2582,8116,8687,3731,7123
MSTRG.3090.1,647,415,0,1886,2560,1997,448,3445,432,1408,3337,7291
MSTRG.3091.1,1125,32,4,156,6978,1206,11122,4725,1015,2532,3524,33233
MSTRG.3092.1,1068,109,105,992,188,374,3704,1785,2675,759,1272,3269
MSTRG.3093.1,2524,1367,1730,2848,1082,2119,4456,2679,6998,3675,4352,4120
MSTRG.3094.1,238,5857,15,516,471,5,2494,421,654,990,467,2285
MSTRG.3096.1,117,0,0,0,0,0,0,0,66,0,0,0
MSTRG.3100.1,248,0,0,15,20,4,21,178,272,18,5,202
MSTRG.3101.1,224,38,1,356,18,15,8,208,455,477,703,1437
MSTRG.3104.1,12,45,0,44,14,35,0,3,39,42,75,11
MSTRG.3105.1,128,3,921,204,7,0,0,30,24,65,4,132
MSTRG.3106.1,877,970,799,1441,102,150,0,8,1305,1843,0,339
MSTRG.3107.1,56,0,0,130,261,241,137,44,216,812,274,127
MSTRG.3108.1,1095,6,309,611,15,47,186,73,1546,991,46,540
MSTRG.3109.1,252,0,0,9,43,21,1,229,121,696,187,384
MSTRG.3110.1,97,0,0,0,0,0,0,2,66,3,0,5
MSTRG.3111.1,206,143,0,57,0,0,0,62,53,215,101,574
MSTRG.3114.1,0,0,0,0,4,0,0,0,0,29,94,99
MSTRG.3115.1,528,14,72,290,1821,261,889,247,1058,652,25,219
MSTRG.3116.1,223,0,0,101,2392,0,0,556,178,123,375,580
MSTRG.3117.1,1024,3862,7,414,12,2,20,241,2463,1606,723,1676
MSTRG.3119.1,412,463,91,391,243,147,156,503,465,293,190,525
MSTRG.3120.1,18,14,2,746,12,56,43,121,14,78,65,296
MSTRG.3121.1,237,8,0,140,391,3,103,91,299,863,187,1433
MSTRG.3122.1,413,2,28,375,0,2,63,13,743,861,106,197
MSTRG.3123.1,273,0,116,556,431,170,0,247,145,568,268,451
MSTRG.3124.1,329,1503,363,496,130,76,4,377,591,687,456,550
MSTRG.3125.1,132,4,0,235,0,2,4,0,90,450,0,133
MSTRG.3126.1,285,41,0,128,0,0,0,34,344,398,291,368
MSTRG.3128.1,7,0,0,23,0,124,0,0,435,0,0,82
MSTRG.3132.1,4,12,0,0,0,0,0,138,0,0,21,113
MSTRG.3133.1,1086,2225,182,765,107,503,3546,1421,2472,1773,2907,2728
MSTRG.3134.1,4,0,0,5,0,0,0,174,235,16,25,74
MSTRG.3135.1,701,457,0,805,821,256,1431,769,2386,1448,1051,1176
MSTRG.3137.1,712,2016,831,1129,278,299,0,756,2475,721,1707,1891
MSTRG.3138.1,81,8,0,10,1101,19,22,159,85,466,6,680
MSTRG.3139.1,714,3,20,371,109,290,616,190,972,730,711,688
MSTRG.3140.1,18,0,0,107,0,0,0,0,97,48,0,2
MSTRG.3141.1,193,479,17,421,0,180,2,280,982,307,489,703
MSTRG.3153.1,20,164,0,17,52,0,0,272,297,272,373,172
MSTRG.3154.1,147,0,0,0,0,0,0,0,0,0,0,0
MSTRG.3148.1,0,0,0,0,0,0,0,0,0,0,0,33
MSTRG.3142.1,538,906,0,291,612,142,0,110,262,442,112,666
MSTRG.3143.1,90,0,0,0,27,0,0,110,0,835,0,461
MSTRG.3144.1,801,1321,938,1037,283,524,1292,2245,1115,1018,1812,3121
MSTRG.3145.1,507,195,650,1579,0,27,0,461,1067,528,0,217
MSTRG.3146.1,1330,2,1038,447,389,519,207,791,1847,880,485,1345
MSTRG.3147.1,112,10,0,37,0,0,166,327,204,280,0,133
MSTRG.3149.1,5201,9319,2278,5378,3617,5890,8267,14475,5487,5100,27305,34570
MSTRG.3150.1,241,0,0,47,0,0,0,0,238,174,0,236
MSTRG.3151.1,1093,16,3,527,74,588,263,310,2024,1426,1502,563
MSTRG.3152.1,264,515,0,356,90,2,576,712,428,639,602,449
MSTRG.3155.1,219,38,370,1085,397,13,473,1126,767,500,710,1634
MSTRG.3156.1,4003,1917,232,4300,2400,2205,1285,4366,5237,5013,4045,6043
MSTRG.3157.1,101,0,0,0,4,78,0,51,9,318,2,8
MSTRG.3158.1,682,533,1424,879,6,131,403,1296,1294,2004,682,2103
MSTRG.3163.1,0,0,0,0,222,18,1,4,0,0,3,259
MSTRG.3168.1,0,0,0,0,0,0,0,0,0,0,0,301
MSTRG.3167.2,0,0,0,0,0,0,0,0,0,151,0,0
MSTRG.3169.1,0,0,0,0,0,0,0,0,172,0,0,0
MSTRG.3159.1,54,0,0,0,0,0,0,31,18,250,44,172
MSTRG.3160.1,15,0,0,112,0,0,0,120,0,0,0,15
MSTRG.3161.1,1247,1655,208,1554,50,892,151,956,1139,1550,1946,2816
MSTRG.3162.1,27,0,0,276,49,0,5,46,143,155,10,637
MSTRG.3166.1,124,129,15,373,4,137,532,522,243,30,1005,932
MSTRG.3167.1,101,129,15,373,4,137,532,0,243,686,719,0
MSTRG.3164.1,6,0,0,152,166,0,0,3,262,0,0,10
MSTRG.3165.1,22,332,0,151,0,0,0,0,30,84,63,0
MSTRG.3170.1,593,57,125,939,1762,1026,754,743,235,747,1574,4869
MSTRG.3172.1,767,33,0,354,149,535,0,0,282,564,209,694
MSTRG.3173.1,5197,7300,5247,6072,2726,2532,9993,6522,12335,6199,13593,19040
MSTRG.3174.1,615,4002,36,1784,1857,2160,467,674,1069,1392,685,1525
MSTRG.3176.1,1377,1930,706,1320,62,1532,2123,728,1116,637,430,1178
MSTRG.3178.1,2848,1621,20,3200,1720,837,3650,1954,3088,4654,1787,3961
MSTRG.3179.1,2972,406,4469,2233,1182,956,2047,1924,2122,2060,2642,6027
MSTRG.3184.1,196,2,0,156,43,82,0,249,208,312,504,648
MSTRG.3180.1,0,0,0,0,0,0,0,0,0,0,0,27
MSTRG.3181.1,1215,881,600,1134,4839,4858,3503,6088,1928,2555,7131,9819
MSTRG.3182.1,117,0,0,0,0,0,0,0,0,0,0,7
MSTRG.3183.1,844,3,32,653,294,5,1640,237,659,848,1204,985
MSTRG.3186.1,353,126,0,114,91,426,25,81,350,387,216,365
MSTRG.3188.1,160,0,4,228,0,32,85,181,495,127,228,197
